seat_code,state,seat,mp,current_party
P001,Perlis,Padang Besar,RUSHDAN BIN RUSMI,PAS
P002,Perlis,Kangar,ZAKRI BIN HASSAN,BERSATU
P003,Perlis,Arau,SHAHIDAN BIN KASSIM,PAS
P004,Kedah,Langkawi,MOHD SUHAIMI BIN ABDULLAH,BERSATU
P005,Kedah,Jerlun,ABDUL GHANI BIN AHMAD,PAS
P006,Kedah,Kubang Pasu,KU ABDUL RAHMAN BIN KU ISMAIL,BERSATU
P007,Kedah,Padang Terap,NURUL AMIN HAMID,PAS
P008,Kedah,Pokok Sena,AHMAD BIN SAAD @ YAHAYA,PAS
P009,Kedah,Alor Setar,AFNAN HAMIMI TAIB AZAMUDDEN,PAS
P010,Kedah,Kuala Kedah,AHMAD FAKHRUDDIN SHEIKH FAKHRURAZI,PAS
P011,Kedah,Pendang,AWANG BIN HASHIM,PAS
P012,Kedah,Jerai,SABRI BIN AZIT,PAS
P013,Kedah,Sik,AHMAD TARMIZI BIN SULAIMAN,PAS
P014,Kedah,Merbok,MOHD NAZRI ABU HASSAN,BERSATU
P015,Kedah,Sungai Petani,MOHAMMED TAUFIQ JOHARI,PKR
P016,Kedah,Baling,HASSAN SAAD,PAS
P017,Kedah,Padang Serai,AZMAN BIN NASRUDIN,BERSATU
P018,Kedah,Kulim Bandar Baharu,ROSLAN HASHIM,BERSATU
P019,Kelantan,Tumpat,MUMTAZ BINTI MD. NAWI,PAS
P020,Kelantan,Pengkalan Chepa,AHMAD MARZUK BIN SHAARY,PAS
P021,Kelantan,Kota Bharu,TAKIYUDDIN BIN HASSAN,PAS
P022,Kelantan,Pasir Mas,AHMAD FADHLI BIN SHAARI,PAS
P023,Kelantan,Rantau Panjang,SITI ZAILAH BINTI MOHD YUSOFF,PAS
P024,Kelantan,Kubang Kerian,TUAN IBRAHIM BIN TUAN MAN,PAS
P025,Kelantan,Bachok,MOHD SYAHIR BIN CHE SULAIMAN,PAS
P026,Kelantan,Ketereh,KHLIR MOHD NOR,PAS
P027,Kelantan,Tanah Merah,IKMAL HISHAM BIN ABDUL AZIZ,BERSATU
P028,Kelantan,Pasir Puteh,NIK MUHAMMAD ZAWAWI BIN SALLEH,PAS
P029,Kelantan,Machang,WAN AHMAD FAYHSAL BIN WAN AHMAD KAMAL,BERSATU
P030,Kelantan,Jeli,ZAHARI KECHIK,BERSATU
P031,Kelantan,Kuala Krai,ABDUL LATIFF BIN ABDUL RAHMAN,PAS
P032,Kelantan,Gua Musang,MOHD AZIZI BIN ABU NAIM,BERSATU
P033,Terengganu,Besut,CHE MOHAMMAD ZULKIFLY JUSOH,PAS
P034,Terengganu,Setiu,SHAHARIZUKIRNAIN BIN ABD KADIR,PAS
P035,Terengganu,Kuala Nerus,ALIAS BIN RAZAK,PAS
P036,Terengganu,Kuala Terengganu,AHMAD AMZAD BIN MOHAMED @ HASHIM,PAS
P037,Terengganu,Marang,ABDUL HADI BIN AWANG,PAS
P038,Terengganu,Hulu Terengganu,ROSOL BIN WAHID,BERSATU
P039,Terengganu,Dungun,WAN HASSAN BIN MOHD RAMLI,PAS
P040,Terengganu,Kemaman,CHE ALIAS BIN HAMID,PAS
P041,Pulau Pinang,Kepala Batas,SITI MASTURA MUHAMMAD,PAS
